abandoned,បោះបង់ចោល
component,សមាសភាគ
components,សមាសធាតុ
composed,សមាសភាព
composer,កម្មវិធីតែង
composite,សមាសធាតុ
composition,សមាសភាព
compound,បរិវេណ
compounds,សមាសធាតុ
comprehensive,ទូលំទូលាយ
compressed,បានបង្ហាប់
compression,ការបង្ហាប់
compromise,សម្របសម្រួល
computation,ការគណនា
computational,គណនា
compute,គណនា
computed,គណនា
computer,កុំព្យូទ័រ
computers,កុំព្យូទ័រ
computing,កុំព្យូទ័រ
con,កុង
concentrate,កំហាប់
concentration,ការផ្តោតអារម្មណ៍
concentrations,កំហាប់
concept,គំនិត
concepts,គំនិត
conceptual,គំនិត
concern,កង្វល់
concerned,បារម្ភ
concerning,ពាក់ព័ន្ធ
concerns,កង្វល់
concert,ការប្រគុំតន្ត្រី
concerts,បរិបទ
conclude,បូកសរុប
concluded,បានបញ្ចប់
conclusion,ការសន្និដ្ឋាន
conclusions,ការសន្និដ្ឋាន
concrete,បេតុង
condition,លក្ខខណ្ឌ
conditional,លក្ខខណ្ឌ
conditioning,ម៉ាស៊ីនត្រជាក់
conditions,លក្ខខណ្ឌ
condo,ខុនដូ
condos,ខុនដូ
conduct,ការប្រព្រឹត្ត
conducted,បានធ្វើឡើង
conducting,ដឹកនាំ
conference,សន្និសីទ
conferences,សន្និសីទ
conferencing,ការធ្វើសន្និសីទ
confidence,ទំនុកចិត្ត
confident,មានទំនុកចិត្តខ្លួនឯង
confidential,ឯកសារសម្ងាត់
confidentiality,ការសម្ងាត់
config,កំណត់រចនាសម្ព័ន្ធ
configuration,ការកំណត់រចនាសម្ព័ន្ធ
configurations,ការកំណត់រចនាសម្ព័ន្ធ
configure,កំណត់រចនាសម្ព័ន្ធ
configured,បានកំណត់រចនាសម្ព័ន្ធ
configuring,ការកំណត់រចនាសម្ព័ន្ធ
confirm,បញ្ជាក់
confirmation,ការបញ្ជាក់
confirmed,បញ្ជាក់
conflict,ជម្លោះ
conflicts,ការសម្ងាត់
confused,ច្របូកច្របល់
confusion,វង្វេង
congo,កុងហ្គោ
congratulations,អបអរសាទរ
congress,សមាជ
congressional,សភា
conjunction,ការតភ្ជាប់
connect,ភ្ជាប់
connected,ភ្ជាប់
connecticut,កូណិចធិខាត់
connecting,កំពុងតភ្ជាប់
connection,ការតភ្ជាប់
connections,ការតភ្ជាប់
connectivity,ការតភ្ជាប់
connector,បន្ទាត់តភ្ជាប់
connectors,ឧបករណ៍ភ្ជាប់
cons,គុណវិបត្តិ
conscious,ដឹងខ្លួន
consciousness,ការដឹង
consecutive,តជាប់គ្នា
consensus,ការព្រមព្រៀង
consent,ការយល់ព្រម
consequence,ផលវិបាក
consequences,ផលវិបាក
consequently,ហេតុដូច្នេះសម្រេច
conservation,ការអភិរក្ស
conservative,អភិរក្សនិយម
consider,ពិចារណា
considerable,គួរឱ្យកត់សម្គាល់
consideration,ការពិចារណា
considerations,ពិចារណា
considered,ពិចារណា
considering,ពិចារណា
considers,ពិចារណា
consist,រួមមាន
consistency,សង្គតិភាព
consistent,ស្រប
consistently,ជាប់លាប់
consisting,មាន
consists,មាន
console,កុងសូល
consoles,កុងសូល
consolidated,បង្រួបបង្រួម
consolidated,បញ្ចូលគ្នា
consolidation,ការបង្រួបបង្រួម
consortium,សម្ព័ន្ធ
conspiracy,ការឃុបឃិតគ្នា
const,(រដ្ឋធម្មនុញ្ញ
constant,ថេរ
constantly,ជានិច្ច
constitute,បង្កើត
constitutes,បង្កើត
constitution,រដ្ឋធម្មនុញ្ញ
constitutional,តុលាការធម្មនុញ្ញ
constraint,ការរឹតបន្តឹង
constraints,ឧបសគ្គ
construct,ស្ថាបនា
constructed,បានសាងសង់
construction,សំណង់
consult,ពិគ្រោះ
consultancy,ការប្រឹក្សាយោបល់
consultant,ទីប្រឹក្សា
consultants,ទីប្រឹក្សា
consultation,ការពិគ្រោះយោបល់
consulting,ការប្រឹក្សាយោបល់
consumer,អ្នកប្រើប្រាស់
consumers,អ្នកប្រើប្រាស់
consumption,ការប្រើប្រាស់
contact,ទំនាក់ទំនង
contacted,បានទាក់ទង
contacting,ការទាក់ទង
contacts,ទំនាក់ទំនង
contain,មាន
contained,មាន
container,ធុង
containers,ធុង
containing,មាន
contains,មាន
contamination,ភាពកខ្វក់
contemporary,សហសម័យ
content,មាតិកា
contents,មាតិកា
contest,ការប្រកួត
contests,ការប្រកួតប្រជែងទាំងអស់
context,បរិបទ
continent,ទ្វីប
continental,ទ្វីប
continually,បន្តទៀត
continue,បន្ត
continued,បន្ត
continues,បន្ត
continuing,បន្ត
continuity,ការបន្ត
continuous,បន្ត
continuously,ជាបន្តបន្ទាប់
contract,កិច្ចសន្យា
contracting,ការចុះកិច្ចសន្យា
contractor,អ្នកម៉ៅការ
contractors,អ្នកម៉ៅការ
contracts,កិច្ចសន្យា
contrary,ខ្លឹមសារផ្ទុយ
contrast,កម្រិតពណ៌
contribute,រួមចំណែក
contributed,បានរួមចំណែក
contributing,ការចូលរួម
contribution,ការរួមចំណែក
contributions,ការរួមចំណែក
contributor,អ្នកចូលរួម
contributors,អ្នកចូលរួមចំណែក
control,ការគ្រប់គ្រង
controlled,គ្រប់គ្រង
controller,ឧបករណ៍បញ្ជា
controllers,ឧបករណ៍ត្រួតពិនិត្យ
controlling,ការគ្រប់គ្រង
controls,ការគ្រប់គ្រង
controversial,ចម្រូងចម្រាស
controversy,ការមិនយល់ស្របគ្នា
convenience,ភាពងាយស្រួល
convenient,ងាយស្រួល
convention,អនុសញ្ញា
conventional,សាមញ្ញ
conventions,អនុសញ្ញា
convergence,ការបញ្ចូលគ្នា
conversation,ការសន្ទនា
conversations,កិច្ចសន្ទនា
conversion,ការប្រែចិត្តជឿ
convert,បម្លែង
converted,បានបំប្លែង
converter,កម្មវិធីបម្លែង
convertible,អាចបម្លែងបាន
convicted,កាត់ទោស
conviction,ផ្តន្តាទោស
convinced,បញ្ចុះបញ្ចូល
cook,ចម្អិន
cookbook,សៀវភៅធ្វើម្ហូប
cooked,ចម្អិនរួច
cookie,ខូគី
cookies,ខូគី
cooking,ចម្អិនអាហារ
cool,ត្រជាក់
cooler,ម៉ាស៊ីនត្រជាក់
cooling,ត្រជាក់
cooper,សហករណ៍
cooperation,កិច្ចសហប្រតិបត្តិការ
cooperative,សហករណ៍
coordinate,កូអរដោនេ
coordinated,អាចសម្របសម្រួលបាន
coordinates,កូអោដោណេ
coordination,ការសម្របសម្រួល
coordinator,អ្នកសម្របសម្រួល
cope,ដោះស្រាយ
copied,បានថតចំលង
copies,ច្បាប់ចម្លង
copper,ទង់ដែង
copy,ចម្លង
copying,កំពុងចម្លង
copyright,កម្មសិទ្ធិបញ្ញា
copyrighted,បានរក្សាសិទ្ធិ
copyrights,កម្មសិទ្ធិបញ្ញា
coral,ផ្កាថ្ម
cord,ខ្សែ
cordless,ឥតខ្សែ
core,ស្នូល
corn,ពោត
cornell,ពោត
corner,ជ្រុង
corners,បាល់ជ្រុង
corp,សាជីវកម្ម
corporate,សាជីវកម្ម
corporation,សាជីវកម្ម
corporations,សាជីវកម្ម
corps,សាកសព
corpus,សំណុំឯកសារ
correct,ត្រឹមត្រូវ
corrected,បានកែតម្រូវ
correction,ការកែតម្រូវ
corrections,ការកែតម្រូវ
correctly,ត្រឹមត្រូវ
correlation,ការជាប់ទាក់ទងគ្នា
correspondence,ការឆ្លើយឆ្លង
corresponding,ដែលត្រូវគ្នា
corruption,អំពើពុករលួយ
cosmetic,គ្រឿងសំអាង
cosmetics,គ្រឿងសំអាង
cost,តម្លៃដើម
costa,កូស្តារីកា
costs,តម្លៃដើម
costume,សំលៀកបំពាក់
costumes,សំលៀកបំពាក់
cottage,ផ្ទះបាយ
cottages,ផ្ទះបាយ
cotton,កប្បាស
could,អាច
council,ក្រុមប្រឹក្សា
councils,ក្រុមប្រឹក្សា
counsel,ប្រឹក្សា
counseling,ការប្រឹក្សាយោបល់
count,រាប់
counted,បានរាប់
counter,បញ្ជរ
counters,ចំនួន
counties,ស្រុក
counting,រាប់
countries,ប្រទេស
country,ប្រទេស
counts,រាប់
county,ស្រុក
couple,គូស្នេហ៍
coupled,ភ្ជាប់
couples,គូស្វាមីភរិយា
coupon,គូប៉ុង
coupons,គូប៉ុង
courage,ភាពក្លាហាន
courier,ការបញ្ជួន
course,វគ្គសិក្សា
courses,វគ្គសិក្សា
court,តុលាការ
courtesy,ការគួរសម
courts,តុលាការ
cover,គម្រប
coverage,គ្របដណ្តប់
covered,គ្របដណ្តប់
covering,គ្របដណ្តប់
covers,គ្របដណ្តប់
cow,គោ
cowboy,អ្នកជិះគោ
cpu,ស៊ីភីយូ
crack,បំបែក
cradle,ឆ្អឹងកំភួនជើង
craft,សិប្បកម្ម
crafts,សិប្បកម្ម
craig,ក្រេក
crap,ល្ងីល្ងើ
craps,ក្តាម
crash,គាំង
crazy,ឆ្កួត
cream,ក្រែម
create,បង្កើត
created,បានបង្កើត
creates,បង្កើត
creating,ការបង្កើត
creation,ការបង្កើត
creations,ការបង្កើត
creative,ច្នៃប្រឌិត
creativity,ការច្នៃប្រឌិត
creator,អ្នកបង្កើត
creature,សត្វ
creatures,សត្វ
credit,ឥណទាន
credits,ឥណទាន
creek,ព្រែក
crest,កំពូល
crew,នាវិក
cricket,កីឡាcricket
crime,ឧក្រិដ្ឋកម្ម
crimes,ឧក្រិដ្ឋកម្ម
criminal,ឧក្រិដ្ឋជន
crisis,វិបត្តិ
criteria,លក្ខណៈវិនិច្ឆ័យ
criterion,លក្ខណៈវិនិច្ឆយ
critical,រិះគន់
criticism,ការរិះគន់
critics,អ្នករិះគន់
croatia,ក្រូអាស៊ី
crop,ដំណាំ
crops,ដំណាំ
cross,ឈើឆ្កាង
crossing,ឆ្លងកាត់
crossword,ល្បែងផ្គុំពាក្យឆ្លង
crowd,ហ្វូងមនុស្ស
crown,មកុដ
crucial,សំខាន់
crude,ឆៅ
cruise,ដំណើរកម្សាន្ត
cruises,នាវាទេសចរណ៍
cry,យំ
crystal,គ្រីស្តាល់
cuba,គុយបា
cube,គូប
cubic,គូប
cuisine,ចម្អិនម្ហូប
cult,សាសនានិយម
cultural,វប្បធម៌
culture,វប្បធម៌
cultures,វប្បធម៌
cumulative,ថែមលើគ្នា
cup,ពែង
cups,ក្រុម
cure,ព្យាបាល
curious,ចង់ដឹងចង់ឃើញ
currencies,រូបិយប័ណ្ណ
currency,រូបិយប័ណ្ណ
current,បច្ចុប្បន្ន
current,ចរន្ត
currently,បច្ចុប្បន្ន
curriculum,កម្មវិធីសិក្សា
cursor,ទស្សន៍ទ្រនិច
curve,ខ្សែកោង
curves,ខ្សែកោង
custody,ការថែរក្សា
custom,ផ្ទាល់ខ្លួន
customer,អតិថិជន
customers,អតិថិជន
customise,ប្ដូរតាមបំណង
customize,ប្ដូរតាមបំណង
customized,ប្ដូរតាមបំណង
customs,គយ
cut,កាត់
cute,គួរឱ្យស្រលាញ់
cuts,កាត់
cutting,កាត់
cyber,ច្បាប់អ៊ិនធឺរណែត
cycle,វដ្ត
cycles,វដ្ត
cycling,ជិះកង់
cylinder,ស៊ីឡាំង
cyprus,ស៊ីប
czech,ឆេក
dad,ប៉ា
daddy,ឪពុក
daily,ប្រចាំថ្ងៃ
dairy,ផលិតផលធ្វើពីទឹកដោះ
daisy,daisy
dakota,ដាកូតា
dale,ដេលនិងស៊ូហ្សានដាវីស
dallas,ដាឡាស
damage,ការខូចខាត
damaged,ខូច
damages,ការខូចខាត
damn,ចង្រៃយ៏
dana,ដាណាអាស៊ី
dance,រាំ
dancing,រាំ
danger,គ្រោះថ្នាក់
dangerous,គ្រោះថ្នាក់
daniel,ដានីយ៉ែល
danish,ភាសាដាណឺម៉ាក
dare,ហ៊ាន
dark,ងងឹត
darkness,ភាពងងឹត
darwin,ដាវីន
dash,សញ្ញាចុច
data,ទិន្នន័យ
database,មូលដ្ឋានទិន្នន័យ
databases,មូលដ្ឋានទិន្នន័យ
date,កាលបរិច្ឆេទ
dated,ចុះកាលបរិច្ឆេទ
dates,កាលបរិច្ឆេទ
dating,ណាត់ជួប
daughter,កូនស្រី
daughters,កូនស្រី
dawn,ព្រឹកព្រលឹម
day,ថ្ងៃ
days,ថ្ងៃ
db,ឌីប៊ី
dc,ឌីស៊ី
dead,ស្លាប់
deadline,ថ្ងៃផុតកំណត់
deadly,ដែលបណ្តាលឱ្យស្លាប់
deaf,ថ្លង់
deal,កិច្ចព្រមព្រៀង
dealer,ឈ្មួញ
dealers,ឈ្មួញ
dealing,ដោះស្រាយ
deals,កិច្ចព្រមព្រៀង
dealt,ដោះស្រាយ
dealtime,ពេលវេលាចរចា
dean,ព្រឹទ្ធបុរស
dear,ជាទីស្រឡាញ់
death,ការស្លាប់
deaths,ការស្លាប់
debate,ការជជែកវែកញែក
debian,ដេប៊ីន
deborah,ដេបូរ៉ា
debt,បំណុល
debug,បំបាត់កំហុស
debut,ចាប់ផ្ដើម
decade,ទសវត្សរ៍
decades,ទសវត្សរ៍
december,ធ្នូ
decent,ការងារសមរម្យ
decide,សម្រេចចិត្ត
decided,បានសម្រេចចិត្ត
decimal,គោលដប់
decision,ការសម្រេចចិត្ត
decisions,ការសម្រេចចិត្ត
deck,នាវា
declaration,សេចក្តីប្រកាស
declare,ប្រកាស
declared,បានប្រកាស
decline,ការធ្លាក់ចុះ
declined,បានបដិសេដ
decor,តុបតែង
decorating,ការតុបតែង
decorative,ការតុបតែងលំអរ
decrease,ថយចុះ
dedicated,ឧទ្ទិស
deemed,សន្មត
deep,ជ្រៅ
deeper,កាន់តែស៊ីជម្រៅ
deeply,ជ្រៅ
deer,សត្វក្តាន់
default,លំនាំដើម
defeat,បរាជ័យ
defects,ការខ្វះខាត
defence,ការពារ
defend,ការពារ
defendant,ចុងចោទ
defense,ការពារ
defensive,ការពារ
deferred,បានពន្យារពេល
deficit,ឥណទានពន្ធកាត់ទុក
define,កំណត់
defined,បានកំណត់
defines,កំណត់
defining,និយមន័យ
definitely,ប្រាកដ
definition,និយមន័យ
definitions,និយមន័យ
degree,សញ្ញាបត្រ
degrees,ដឺក្រេ
delay,ពន្យាពេល
delayed,បានពន្យារ
delays,ការពន្យាពេល
delegation,គណៈប្រតិភូ
delete,លុប
deleted,បានលុប
delhi,ដេលី
delicious,អាហារឆ្ងាញ់
delight,រីករាយ
deliver,ចែកចាយ
delivered,ប្រគល់ជូន
delivering,ការចែកចាយ
delivers,បញ្ជូន
delivery,ការដឹកជញ្ជូន
dell,ដេល
delta,ដីសណ្តរ
deluxe,ប្រណីត
demand,ទាមទារ
demanding,តម្រូវការ
demands,ការទាមទារ
demo,ការបង្ហាញ
democracy,ប្រជាធិបតេយ្យ
democrat,ប្រជាធិបតេយ្យ
democratic,ប្រជាធិបតេយ្យ
democrats,ប្រជាធិបតេយ្យ
demographic,ប្រជាសាស្ត្រ
demonstrate,បង្ហាញ
demonstrated,បានបង្ហាញ
demonstrates,បង្ហាញ
demonstration,ស្រែបង្ហាញ
denial,ការបដិសេធ
denied,បដិសេធ
denmark,ដាណឺម៉ាក
dennis,ដេនីស
dense,ក្រាស់
density,ដង់ស៊ីតេ
dental,ធ្មេញ
dentists,ពេទ្រធ្មេញ
denver,ទីក្រុងDenver
deny,បដិសេធ
department,នាយកដ្ឋាន
departmental,ផ្នែក
departments,នាយកដ្ឋាន
departure,ការចាកចេញ
depend,អាស្រ័យ
dependence,ការពឹងផ្អែក
dependent,អាស្រ័យ
depending,អាស្រ័យ
depends,អាស្រ័យ
deployment,ការដាក់ពង្រាយ
deposit,ប្រាក់បញ្ញើ
deposits,ប្រាក់បញ្ញើ
depot,ដេប៉ូ
depression,ជំងឺធ្លាក់ទឹកចិត្ត
dept,នាយកដ្ឋាន
depth,ជម្រៅ
deputy,អនុប្រធាន
derived,ទទួលបាន
descending,លំដាប់ចុះ
describe,ពិពណ៌នា
described,បានពិពណ៌នា
describes,ពិពណ៌នា
describing,ការពិពណ៌នា
description,ការពិពណ៌នា
descriptions,ការពិពណ៌នា
desert,វាលខ្សាច់
deserve,សមនឹងទទួលបាន
design,រចនា
designated,កំណត់
designation,ការចាត់តាំង
designed,រចនា
designer,អ្នករចនា
designers,អ្នករចនា
designing,ការរចនា
designs,រចនា
desirable,ចង់បាន៖
desire,បំណងប្រាថ្នា
desired,ចង់បាន
desk,តុ
desktop,ផ្ទៃតុ
desktops,កុំព្យូទ័រលើតុ
desperate,អស់សង្ឃឹម
despite,ទោះបីជា
destination,គោលដៅ
destinations,គោលដៅ
destiny,វាសនា
destroy,បំផ្លាញទិន្នន័យ
destroyed,បានបំផ្លាញ
destruction,ការបំផ្លិចបំផ្លាញ
detail,លម្អិត
detailed,លម្អិត
details,លម្អិត
detect,រកឱ្យឃើញ
detected,បានរកឃើញ
detection,ការរកឃើញ
detective,ភ្នាក់ងារស៊ើបអង្កេត
detector,ឧបករណ៍ចាប់សញ្ញា
determination,ការប្តេជ្ញាចិត្ត
determine,កំណត់
determined,កំណត់
determines,កំណត់
determining,ការកំណត់
detroit,ដេត្រយ
deutsch,ភាសាអាល្លឺម៉ង់
deutschland,ប្រទេសអាល្លឺម៉ង់
develop,អភិវឌ្ឍ
developed,អភិវឌ្ឍ
developer,អ្នកអភិវឌ្ឍន៍
developers,អ្នកអភិវឌ្ឍន៍
developing,កំពុងអភិវឌ្ឍ
development,ការអភិវឌ្ឍ
developmental,ការអភិវឌ្ឍន៍៖
developments,ការអភិវឌ្ឍ
develops,បង្កើត
deviant,ខុសប្រក្រតី
deviation,គម្លាត
device,ឧបករណ៍
devices,ឧបករណ៍
devil,អារក្ស
devoted,បានលះបង់
diabetes,ជំងឺទឹកនោមផ្អែម
diagnosis,រោគវិនិច្ឆ័យ
diagnostic,វិនិច្ឆ័យ
diagram,ដ្យាក្រាម
dial,ចុច
dialog,គោលដប់
dialogue,ការសន្ទនា
diameter,អង្កត់ផ្ចិត
diamond,ពេជ្រ
diamonds,ពេជ្រ
diana,ឌីយ៉ាណា
diary,កំណត់ហេតុប្រចាំថ្ងៃ
dice,គ្រាប់ឡុកឡាក់
dictionaries,វចនានុក្រម
dictionary,វចនានុក្រម
did,បាន
die,ស្លាប់
died,ស្លាប់
diego,ឌីហ្គោ
dies,ស្លាប់
diesel,ប្រេងម៉ាស៊ូត
diet,របបអាហារ
dietary,របបអាហារ
diff,ភាពខុសគ្នា
differ,ខុសគ្នា
difference,ភាពខុសគ្នា
differences,ភាពខុសគ្នា
different,ខុសគ្នា
differential,ឌីផេរ៉ង់ស្យែល
differently,ខុសគ្នា
difficult,លំបាក
difficulties,ការលំបាក
difficulty,ការលំបាក
diffs,ភាពខុសគ្នា
dig,ជីក
digest,រំលាយ
digit,តួលេខ
digital,ឌីជីថល
dildo,ឌីលដូ
dildos,ឌីលដូ
dim,អេក្រង់ព្រិលមែនទែន
dimension,វិមាត្រ
dimensional,វិមាត្រ
dimensions,វិមាត្រ
dining,ការទទួលទានអាហារ
dinner,អាហារពេលល្ងាច
dip,ខួង
diploma,សញ្ញាបត្រ
direct,ផ្ទាល់
directed,ដឹកនាំ
direction,ទិសដៅ
directions,ទិសដៅ
directive,បង្គាប់
directly,ដោយផ្ទាល់
director,នាយក
directories,បញ្ជីឈ្មោះ
directors,នាយក
directory,បញ្ជីឈ្មោះ
dirt,កខ្វក់
dirty,កខ្វក់
disabilities,ពិការភាព
disability,ពិការភាព
disable,បិទ
disabled,ពិការ
disagree,មិនយល់ស្រប
disappointed,ខកចិត្ត
disaster,គ្រោះមហន្តរាយ
disc,ឌីស
discharge,ជំងឺធ្លាក់ស
disciplinary,វិន័យ
discipline,វិន័យ
disciplines,វិន័យ
disclaimer,ការបដិសេធ
disclaimers,សេចក្តីប្រកាសបដិសេធមិនទទួលខុសត្រូវ
disclose,បង្ហាញ
disclosure,ការបង្ហាញ
disco,ឌីស្កូ
discount,ការបញ្ចុះតម្លៃ
discounted,ការបញ្ចុះតម្លៃ
discounts,ការបញ្ចុះតម្លៃ
discover,រកឃើញ
discovered,បានរកឃើញ
discovery,ការរកឃើញ
discrete,ដោយឯកឯង
discretion,ឆន្ទានុសិទ្ធិ
discrimination,ការរើសអើង
discs,ឌីស
discuss,ពិភាក្សា
discussed,បានពិភាក្សា
discusses,ពិភាក្សា
discussing,ពិភាក្សា
discussion,ការពិភាក្សា
discussions,ការពិភាក្សា
disease,ជំងឺ
diseases,ជំងឺ
dish,ចាន
dishes,មុខម្ហូប
disk,ថាស
disks,ថាស
disney,ឌីស្នី
disorder,វិបល្លាស
disorders,ភាពមិនប្រក្រតី
dispatch,បញ្ជូន
dispatched,បានបញ្ជូន
display,បង្ហាញ
displayed,បានបង្ហាញ
displaying,ការបង្ហាញ
displays,ការបង្ហាញ
disposal,ការចោល
disposition,អជ្ឈាស័យ
dispute,វិវាទ
disputes,វិវាទ
distance,ចម្ងាយ
distances,ចម្ងាយ
distant,នៅឆ្ងាយ
distinct,ចម្ងាយ
distinction,ភាពខុសគ្នា
distinguished,ប្លែក
distribute,ចែកចាយ
distributed,ចែកចាយ
distribution,ការចែកចាយ
distributions,ការចែកចាយ
distributor,អ្នកចែកចាយ
distributors,អ្នកចែកចាយ
district,ស្រុក
districts,ស្រុក
disturbed,រំខាន
div,<div>
dive,លោតទឹក
diverse,ចម្រុះ
diversity,ភាពចម្រុះ
divide,ចែក
divided,បែងចែក
dividend,ភាគលាភ
divine,ព្រះ
diving,មុជទឹក
division,ការបែងចែក
divisions,ការបែងចែក
divorce,ការលែងលះ
diy,ធ្វើវាដោយខ្លួនឯង
dj,ឌីជេ
dk,អត់ដឹង
dns,DNS
doc,ឯកសារ
dock,ចូលផែ
docs,ឯកសារ
doctor,វេជ្ជបណ្ឌិត
doctors,វេជ្ជបណ្ឌិត
doctrine,លទ្ធិ
document,ឯកសារ
documentary,ឯកសារ
documentation,ឯកសារ
documented,បានចងក្រងជាឯកសារ
documents,ឯកសារ
dodge,គេច
does,ធ្វើ
dog,ឆ្កែ
dogs,សត្វឆ្កែ
doing,ធ្វើ
doll,តុក្កតា
dollar,ដុល្លារ
dollars,ដុល្លារ
dolls,តុក្កតា
dom,មែកធាងDOM
domain,ដែន
domains,ដែន
dome,ដូម
domestic,ក្នុងស្រុក
dominant,ហ្សែនលេចធ្លោ
dominican,ដូមីនីក
donald,ដូណាល់
donate,បរិច្ចាគ
donated,បរិច្ចាគ
donation,ការបរិច្ចាគ
donations,ការបរិច្ចាគ
done,រួចរាល់
donna,ដូណា
donor,អនុប្បទានិក
donors,ម្ចាស់ជំនួយ
doom,វិនាស
door,ទ្វារ
doors,ទ្វារ
dosage,ការប្រើប្រាស់
dose,កម្រិតថ្នាំ
double,ទ្វេ
doubt,សង្ស័យ
dover,ដូវើ
down,ចុះ
download,ទាញយក
downloadable,អាចទាញយកបាន
downloaded,បានទាញយក
downloading,កំពុងទាញយក
downloads,ទាញយក
downtown,ទីប្រជុំជន
dozen,មួយឡូ
dozens,រាប់សិបនាក់
draft,សេចក្តីព្រាង
drag,អូស
dragon,នាគ
drain,បង្ហូរ
drainage,លូបង្ហូរទឹក
drama,ល្ខោន
dramatic,គួរឱ្យព្រឺព្រួច
dramatically,គួរឱ្យកត់សម្គាល់
draw,គូរ
drawing,គំនូរ
drawings,គំនូរ
drawn,គូរ
draws,គូរ
dream,សុបិន្ត
dreams,សុបិន្ត
dress,រ៉ូប
dressed,ស្លៀកពាក់
dresses,រ៉ូប
dressing,ការស្លៀកពាក់
drew,បានគូរ
dried,ស្ងួត
drill,ខួង
drilling,ការខួង
drink,ផឹក
drinking,ផឹក
drinks,ផឹក
drive,បើកបរ
driven,ជំរុញ
driver,អ្នកបើកបរ
drivers,អ្នកបើកបរ
drives,ដ្រាយ
driving,ការបើកបរ
drop,ទម្លាក់
dropped,បានធ្លាក់ចុះ
drops,ដំណក់
drove,បើកបរ
drug,ថ្នាំ
drugs,ថ្នាំ
drum,ស្គរ
drums,ស្គរ
drunk,ប្រមឹក
dry,ស្ងួត
dryer,ម៉ាស៊ីនសម្ងួត
dual,ទ្វេ
dubai,ឌុយបៃ
dublin,ឌូប្លីន
duck,សត្វទា
dude,បង
due,ដល់កំណត់
duke,អ្នកឧកញ៉ា
dumb,ល្ងីល្ងើ
dump,បោះបង់ចោល
duo,គូ
duplicate,ស្ទួន
durable,ប្រើប្រាស់បានយូរ
duration,រយៈពេល
during,ក្នុងអំឡុងពេល
dust,ធូលី
dutch,ហូឡង់
duties,ភារកិច្ច
duty,កាតព្វកិច្ច
dvd,ឌីវីឌី
dvds,ឌីវីឌី
dying,ការស្លាប់
dylan,ឌីឡាន
dynamic,ថាមវន្ត
dynamics,ថាមវន្ត
each,រាល់
eagle,ឥន្ទ្រី
eagles,ឥន្ទ្រី
ear,ត្រចៀក
earl,ត្រចៀក
earlier,មុន
earliest,ដំបូងបំផុត
early,ដើម
earn,រកបាន
earned,ទទួលបាន
earning,ប្រាក់ចំណូល
earnings,ប្រាក់ចំណូល
earrings,ក្រវិល
ears,ត្រចៀក
earth,ផែនដី
earthquake,រញ្ជួយផែនដី
ease,ភាពងាយស្រួល
easier,ងាយស្រួលជាង
easily,យ៉ាងងាយស្រួល
east,ខាងកើត
eastern,ភាគខាងកើត
easy,ងាយស្រួល
eat,បរិភោគ
eating,បរិភោគ
ebay,អ៊ីបេ
ebony,អេបូន
ebook,eBook
ebooks,សៀវភៅអេឡិចត្រូនិក
echo,បន្ទរ
eclipse,ច័ន្ទគ្រាស
eco,អេកូ
ecological,អេកូឡូស៊ី
ecology,អេកូឡូស៊ី
ecommerce,ពាណិជ្ជកម្មអេឡិចត្រូនិច
economic,សេដ្ឋកិច្ច
economics,សេដ្ឋកិច្ច
economies,វិមាត្រ
economy,សេដ្ឋកិច្ច
ecuador,អេក្វាទ័រ
eden,អេដែន
edgar,អេដហ្គា
edge,គែម
edges,គែម
edinburgh,អេឌីនបឺក
edit,កែសម្រួល
edited,បានកែសម្រួល
editing,ការកែសម្រួល
edition,បោះពុម្ព
editions,ការបោះពុម្ពផ្សាយ
editor,កម្មវិធីនិពន្ធ
editorial,វិចារណកថា
editorials,វិចារណកថា
editors,អ្នកកែសម្រួល
educated,ការអប់រំ
education,ការអប់រំ
educational,អប់រំ
educators,អ្នកអប់រំ
effect,ឥទ្ធិពល
effective,មានប្រសិទ្ធភាព
effectively,ប្រកបដោយប្រសិទ្ធភាព
effectiveness,ប្រសិទ្ធភាព
effects,ផលប៉ះពាល់
efficiency,ប្រសិទ្ធភាព
efficient,ប្រសិទ្ធភាព
efficiently,ប្រសិទ្ធភាព
effort,ការខិតខំប្រឹងប្រែង
efforts,ការខិតខំប្រឹងប្រែង
egg,ស៊ុត
egypt,អេហ្ស៊ីប
egyptian,ជនជាតិអេហ្ស៊ីប
eight,ប្រាំបី
either,ទាំង
ejaculation,ការបញ្ចេញទឹកកាម
elder,មនុស្សចាស់
elderly,មនុស្សចាស់
elect,ជ្រើសរើស
elected,ជាប់ឆ្នោត
election,ការបោះឆ្នោត
elections,ការបោះឆ្នោត
electoral,អ្នកបោះឆ្នោត
electric,អគ្គិសនី
electrical,អគ្គិសនី
electricity,អគ្គិសនី
electro,អេឡិចត្រូ
electron,អេឡិចត្រុង
electronic,អេឡិចត្រូនិក
electronics,អេឡិចត្រូនិក
elegant,មានប្រណិតភាព
element,ធាតុ
elementary,បឋមសិក្សា
elements,ធាតុ
elephant,សត្វដំរី
elevation,កម្ពស់
eleven,១១
eligibility,សិទ្ធិ
eligible,មានសិទ្ធិ
eliminate,លុបចោល
elimination,ការលុបបំបាត់
elite,វរជន
elizabeth,អេលីសាបេត
ellis,រាងពងក្រពើ
else,ផ្សេងទៀត
elsewhere,កន្លែងផ្សេងទៀត
elvis,អេលវីស
emacs,Emacs
