roman,target,freq,freq_lang,category,status,notes
aa,អា!,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
boranatthan,បុរាណដ្ឋាន,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
borarogyakam,បុរារោគ្យកម្ម,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
borbbab,ប៉ប៉ាប់,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
borbbachborpu,ប៉ប៉ាច់ប៉ពូ,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
borbdiech,ប៉ប្ដៀច,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
borbel,ប៉បិល,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
borblaem,ប៉ប្លែម,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
borblechborblouch,ប៉ប្លិចប៉ប្លូច,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
borblekborblok,ប៉ប្លិកប៉ប្លក់,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
borbreb,ប៉ប្រិប,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
bordevisakttheat,បដិវិសធាតុ,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
borapea,បូព៌ា,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
boravaset,បុរេអវសិដ្ឋ,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
borebrorttean,បុរេប្រទាន,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
borebrorvoat,បុរេប្រវត្តិ,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
borebrorvoattesas,បុរេប្រវត្តិសាស្ត្រ,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
borebrorvoatvitttyea,បុរេប្រវត្តិវិទ្យា,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
borebrorvoatvittu,បុរេប្រវត្តិវិទូ,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
boregot,បុរេគត,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
boreirum,បូរីរម្យ,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
borejumrers,បុរេជម្រើស,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
boreleakkhan,បុរេលក្ខខណ្ឌ,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
borenichchhai,បុរេនិច្ឆ័យ,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
borepisaot,បុរេពិសោធន៍,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
boresakkam,បុរេសកម្ម,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
boresakmittthiloatttheakpheab,បុរេសមិទ្ធិលទ្ធភាព,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
boresakmuchchhaet,បុរេសមុច្ឆេទ,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
boresakna,បុរេសនា,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
boresei,បុរេសី,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
borosroat,បុរសរ័ត្ន,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
borphaoeb,ប៉ផ្អឹប,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
borphdak,ប៉ផ្ដាក់,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
borphdetborphdoung,ប៉ផ្តិតប៉ផ្តូង,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
borphlaot,ប៉ផ្លោត,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
borphlechborphlob,ប៉ផ្លិចប៉ផ្លប់,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
borphotborphaeuy,ប៉ផុតប៉ផើយ,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
borphouborphong,ប៉ផូរប៉ផង់,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
borrevoatvabbbaktthoar,បរិវត្តន៍វប្បធម៌,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
ruet,ឫទ្ធ,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
boschhnaotaksakkol,បោះឆ្នោតអសកល,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
boschhnaotsakkol,បោះឆ្នោតសកល,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
bosdai,បោះដៃ,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
bosdaiphot,បោះដៃផុត,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
bosdom,បោះដុំ,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
boset,បោះឥដ្ឋ,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
bosjumhan,បោះជំហាន,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
bosjumrum,បោះជំរំ,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
bospeak,បោះពាក្យ,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
bossambot,បោះសំបុត្រ,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
bossamdei,បោះសម្ដី,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
bossnoeng,បោះស្នឹង,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
bossonttuchrumlongphnum,បោះសន្ទូចរំលងភ្នំ,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
bostamruy,បោះតម្រុយ,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
bostruoy,បោះត្រួយ,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
bosttab,បោះទ័ព,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
bosttong,បោះទង,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
bosttun,បោះទុន,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
bot,បុត្ត,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
bot,ប៊ត,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
botachnha,បទអាជ្ញា,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
botbaen,បត់បែន,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
botbanhjea,បទបញ្ជា,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
botbanhjeabhttaiknong,បទបញ្ជាផ្ទៃក្នុង,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
botbonhjea,បទបញ្ជា,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
botbonhjeabhttaiknong,បទបញ្ជាផ្ទៃក្នុង,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
botchhveng,បត់ឆ្វេង,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
botdaibotjerng,បត់ដៃបត់ជើង,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
botgheatakkam,បទឃាតកម្ម,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
thoammea,ធម្មា,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
botjhobbanh,បទឈប់បាញ់,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
botleakhu,បទលហុ,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
botmachjhim,បទមជ្ឈិម,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
botatthatthibbay,បទអត្ថាធិប្បាយ,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
botokkret,បទឧក្រិដ្ឋ,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
botontakragum,បទអន្តរាគមន៍,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
bototttes,បទឧទ្ទេស,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
bototttesakneam,បទឧទ្ទេសនាម,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
botpisaot,បទពិសោធ,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
botpornaknea,បទពណ៌នា,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
botsakrakphanh,បទសរភញ្ញ,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
botsdam,បត់ស្ដាំ,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
bottakleab,បុត្តលាភ,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
bottakpheab,បុត្តភាព,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
bottatthin,បុត្តាធីន,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
botthansonggream,បទដ្ឋានសង្គ្រាម,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
bottrabottrei,បុត្រាបុត្រី,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
bottreibottra,បុត្រីបុត្រា,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
botyokka,បទយកការណ៍,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
bounhmoat,បូញមាត់,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
bounhmoatbotdomdai,បូញមាត់បត់ដុំដៃ,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
bousbom,បូសបម,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
bouskhyol,បូសខ្យល់,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
vutthi,វុឌ្ឍិ,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
bpol,បរពល,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
brab,ប្រាប្ដ,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
brabbram,ប្រាបប្រាម,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
brabbram,ប្រាប់ប្រាម,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
brabbrong,ប្រាប់ប្រង,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
brabdak,ប្រាប្ដ,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
brabdaphisaek,ប្រាប្ដាភិសេក,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
brabphlov,ប្រាប់ផ្លូវ,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
brabsokttuk,ប្រាប់សុខទុក្ខ,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
brachbrach,ប្រាច់ៗ,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
brachein,ប្រាចីន,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
brachetmeayeat,ប្រាជ្ញឥតមារយាទ,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
brachgumnit,ប្រាជ្ញគំនិត,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
brachknong,ប្រាជ្ញក្នុង,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
brachnhaaab,ប្រាជ្ញាអាប់,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
brachnhamut,ប្រាជ្ញាមុត,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
brachnhanhean,ប្រាជ្ញាញាណ,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
brachnharuel,ប្រាជ្ញារឹល,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
brachprouk,ប្រាជ្ញព្រោក,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
brachsamdei,ប្រាជ្ញសម្ដី,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
braechet,ប្រែចិត្ត,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
braegumnit,ប្រែគំនិត,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
braekhluon,ប្រែខ្លួន,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
braeloutbroryouk,ប្រែលោតប្រយោគ,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
braen,ប៊្រែន,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
braepeak,ប្រែពាក្យ,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
braeriengsachkdei,ប្រែរៀងសេចក្ដី,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
braeroy,ប្រែរយ,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
braerub,ប្រែរូប,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
braesachbraejheam,ប្រែសាច់ប្រែឈាម,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
braesambol,ប្រែសម្បុរ,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
braesamdei,ប្រែសម្ដី,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
braesray,ប្រែស្រាយ,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
braettheat,ប្រែធាតុ,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
braettumnukchet,ប្រែទំនុក,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
brahbran,ប្រះប្រាណ,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
brahdaibrahjerng,ប្រះដៃប្រះជើង,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
brahdekgreng,ប្រះដេកគ្រេង,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
braisakniyatthan,ប្រៃសណីយដ្ឋាន,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
braisakniyeakbat,ប្រៃសណីយបត្រ,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
brak,ប្រាក,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
brakbamnach,ប្រាក់បំណាច់,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
brakbamnachchhnam,ប្រាក់បំណាច់ឆ្នាំ,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
brakbamnachmukngea,ប្រាក់បំណាច់មុខងារ,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
brakbamnol,ប្រាក់បំណុល,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
brakjhnuolabbbakbbakrakma,ប្រាក់ឈ្នួលអប្បបរមា,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
brakkak,ប្រាក់កាក់,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
brakkas,ប្រាក់កាស,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
brakkok,ប្រាក់កក់,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
brakkomrai,ប្រាក់កម្រៃ,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
brakkomraijerngsa,ប្រាក់កម្រៃជើងសា,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
braklerktterkchet,ប្រាក់លើកទឹកចិត្ត,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
brakmanaklaekha,ប្រមាណលេខា,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
brakmmouttya,ប្រមោទ្យ,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
brakotbrorjea,ប្រាកដប្រជា,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
brakotjea,ប្រាកដជា,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
brakotniyum,ប្រាកដនិយម,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
brakpot,បព៌ត,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
braksamnorng,ប្រាក់សំណង,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
braksaotthon,ប្រាក់សោធន,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
braksmattean,ប្រាក់ស្មាទាន,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
braktevet,ប្រតិវេទ,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
braktthonnabalakkech,បរធនបាលកិច្ច,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
brakyuranheat,ប្រយូរញាតិ,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
brakyurapong,ប្រយូរពង្ស,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
brakyuravong,ប្រយូរវង្ស,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
brambrab,ប្រាមប្រាប់,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
brang,ប្រាង្គ,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
brang,ហ្វ្រ័ង,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
branvitttyea,ប្រាណវិទ្យា,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
braosbran,ប្រោសប្រាណ,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
braosbruos,ប្រោសប្រស់,1,km,words,approved,candidate source=RAC Khmer Dictionary 2022 revision=525c0171894465cba920a9181387a032c11610d3; roman_source=suggestion
